name,model,id,description,clip_score
Long Cane,DALLE-3,0,"An image of a long cane, unfolded and folded.",0.264892578125
Long Cane,DALLE-3,1,"An image of a long cane, unfolded and folded.",0.27685546875
Long Cane,DALLE-3,2,"An image of a long cane, unfolded and folded.",0.2366943359375
Long Cane,DALLE-3,3,"An image of a long cane, unfolded and folded.",0.2509765625
Induction Loop,DALLE-3,0,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",0.244140625
Induction Loop,DALLE-3,1,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",0.258544921875
Induction Loop,DALLE-3,2,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",0.280517578125
Induction Loop,DALLE-3,3,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",0.272705078125
Forearm Prosthesis,DALLE-3,0,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",0.30322265625
Forearm Prosthesis,DALLE-3,1,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",0.2939453125
Forearm Prosthesis,DALLE-3,2,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",0.28857421875
Forearm Prosthesis,DALLE-3,3,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",0.298095703125
Hearing Aid,DALLE-3,0,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,0.297607421875
Hearing Aid,DALLE-3,1,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,0.31591796875
Hearing Aid,DALLE-3,2,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,0.2491455078125
Hearing Aid,DALLE-3,3,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,0.330322265625
Transfer Aids,DALLE-3,0,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",0.232421875
Transfer Aids,DALLE-3,1,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",0.2418212890625
Transfer Aids,DALLE-3,2,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",0.252197265625
Transfer Aids,DALLE-3,3,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",0.2100830078125
HIV Test (Negative),DALLE-3,0,Depicted is a negative HIV test. The test result shows one line.,0.2744140625
HIV Test (Negative),DALLE-3,1,Depicted is a negative HIV test. The test result shows one line.,0.301513671875
HIV Test (Negative),DALLE-3,2,Depicted is a negative HIV test. The test result shows one line.,0.27197265625
HIV Test (Negative),DALLE-3,3,Depicted is a negative HIV test. The test result shows one line.,0.277099609375
Binge Eating,DALLE-3,0,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",0.307861328125
Binge Eating,DALLE-3,1,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",0.307861328125
Binge Eating,DALLE-3,2,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",0.33349609375
Binge Eating,DALLE-3,3,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",0.32568359375
Endometriosis,DALLE-3,0,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",0.1790771484375
Endometriosis,DALLE-3,1,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",0.1790771484375
Endometriosis,DALLE-3,2,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",0.1790771484375
Endometriosis,DALLE-3,3,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",0.1790771484375
MS Episode,DALLE-3,0,The upper body of a woman is depicted. Her spine is drawn. The lumbar area is highlighted. The woman touches the spot with one hand.,0.252685546875
Manic Phase (Bipolar Disorder),DALLE-3,0,"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",0.2401123046875
Manic Phase (Bipolar Disorder),DALLE-3,1,"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",0.27490234375
Manic Phase (Bipolar Disorder),DALLE-3,2,"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",0.2705078125
Manic Phase (Bipolar Disorder),DALLE-3,3,"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",0.253173828125
Bedroom,DALLE-3,0,"Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",0.2958984375
Bedroom,DALLE-3,1,"Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",0.28955078125
Bedroom,DALLE-3,2,"Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",0.295654296875
Bedroom,DALLE-3,3,"Depicted is a bedroom with a bed, nightstand, wall painting, armchair, floor lamp, indoor plant, and carpet.",0.289794921875
Bathroom,DALLE-3,0,"Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",0.302734375
Bathroom,DALLE-3,1,"Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",0.300048828125
Bathroom,DALLE-3,2,"Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",0.308837890625
Bathroom,DALLE-3,3,"Depicted is a bathroom with toilet, wall shelves, sink, mirror, and a shower cubicle.",0.3125
Hygiene Products,DALLE-3,0,"Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",0.287353515625
Hygiene Products,DALLE-3,1,"Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",0.2958984375
Hygiene Products,DALLE-3,2,"Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",0.3115234375
Hygiene Products,DALLE-3,3,"Depicted are the following hygiene items: soap, shaving foam, shower gel, toothpaste, and toothbrush.",0.30419921875
Twin Room,DALLE-3,0,"Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",0.26513671875
Twin Room,DALLE-3,1,"Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",0.26318359375
Twin Room,DALLE-3,2,"Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",0.260498046875
Twin Room,DALLE-3,3,"Depicted is a bedroom with two separate beds, wardrobes, armchairs, nightstands, and wall paintings.",0.2498779296875
Multi-family House,DALLE-3,0,Depicted is a four-story apartment building.,0.2548828125
Multi-family House,DALLE-3,1,Depicted is a four-story apartment building.,0.2467041015625
Multi-family House,DALLE-3,2,Depicted is a four-story apartment building.,0.250732421875
Multi-family House,DALLE-3,3,Depicted is a four-story apartment building.,0.256591796875
Early Detection,DALLE-3,0,"A woman leans over the back of a man. She looks at a large, dark mole through a magnifying glass. In one of her thought bubbles, a warning triangle is drawn, and in the other thought bubble, it can be seen how the mole is removed.",0.326416015625
Early Detection,DALLE-3,1,"A woman leans over the back of a man. She looks at a large, dark mole through a magnifying glass. In one of her thought bubbles, a warning triangle is drawn, and in the other thought bubble, it can be seen how the mole is removed.",0.332275390625
Psychiatry,DALLE-3,0,In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,0.33056640625
Psychiatry,DALLE-3,1,In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,0.323974609375
Psychiatry,DALLE-3,2,In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,0.306396484375
Psychiatry,DALLE-3,3,In the background is a large building with a sign 'Psychiatry'. In the foreground stands a young woman who looks worried/skeptical. An older woman reaches out to her hand.,0.3203125
Chest X-ray,DALLE-3,0,A young lady stands at an X-ray machine. A chest X-ray is being taken of her lungs.,0.30810546875
Chest X-ray,DALLE-3,1,A young lady stands at an X-ray machine. A chest X-ray is being taken of her lungs.,0.302734375
Chest X-ray,DALLE-3,2,A young lady stands at an X-ray machine. A chest X-ray is being taken of her lungs.,0.289306640625
EEG - Electroencephalography,DALLE-3,0,"A girl is undergoing an EEG. On the right side of the image, you can see how the nerve cells of the brain produce electrical currents.",0.29931640625
EEG - Electroencephalography,DALLE-3,1,"A girl is undergoing an EEG. On the right side of the image, you can see how the nerve cells of the brain produce electrical currents.",0.2666015625
