category,english_name,english_description,image_url,prompt,german_name,german_description
Hilfsmittel,Long Cane,"An image of a long cane, unfolded and folded.",https://www.lag-sb-rlp.de/images/phocagallery/Hilfsmittel/thumbs/phoca_thumb_l_langstock-cmyk.jpg,"Cartoon picture of Long Cane - An image of a long cane, unfolded and folded.",Langstock,"Abgebildet ist ein Langstock, der ausgeklappt ist und ein Langstock, der zusammengeklappt ist."
Hilfsmittel,Induction Loop,"The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_induktionsschleife-rgb.jpg,"Cartoon picture of Induction Loop - The picture shows three people at a table. A lady is giving a presentation while standing, wearing an induction loop around her neck, and showing two documents. Next to her sits a deaf man with a hearing aid in his right ear, which allows him to hear her. On his right side sits another lady with a laptop.",Induktionsschleife,"Auf dem Bild sieht man drei Personen an einem Tisch. Eine Dame haelt im Stehen einen Vortrag, traegt eine Induktionsschleife um den Hals und zeigt dabei zwei Dokumente. Daneben sitzt ein gehoerloser Mann mit einem Hoergeraet im rechten Ohr, wodurch er sie hoeren kann. Auf seiner rechten Seite sitzt noch eine Dame am Laptop. "
Hilfsmittel,Forearm Prosthesis,"An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",https://www.lag-sb-rlp.de/images/phocagallery/Hilfsmittel/thumbs/phoca_thumb_l_unterarm-prothese-cmyk.jpg,"Cartoon picture of Forearm Prosthesis - An arm is depicted, with the forearm missing from the elbow. Next to it is a prosthesis. A red arrow points from the prosthesis to the arm.",Unterarmprothese,"Abgebildet ist ein Arm, dessen Unterarm, ab dem Ellenbogen, fehlt. Daneben ist eine Prothese abgebildet. Ein roter Pfeil zeigt von der Prothese zum Arm."
Hilfsmittel,Hearing Aid,A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hrgert.jpg,Cartoon picture of Hearing Aid - A man and a woman are talking to each other. The man wears a hearing aid in his right ear and understands what the woman is saying to him.,Hoergeraet,"Ein Mann und eine Frau sprechen miteinander. Der Mann traegt ein Hoergeraet im rechten Ohr und versteht, was die Frau zu ihm sagt. "
Hilfsmittel,Transfer Aids,"Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d16-transferhilfen-cmyk.jpg,"Cartoon picture of Transfer Aids - Two transfer aids are shown in the picture, on which people could lean and move - better - with their help.",Transferhilfen,"Auf dem Bild sind zwei Transferhilfen eingezeichnet, auf die sich Personen stuetzen koennten und mit ihrer Hilfe sichbesser -  fortbewegen koennen."
Erkrankung/Krankheitsbild,HIV Test (Negative),Depicted is a negative HIV test. The test result shows one line.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_hivtest-negativ-rgb.jpg,Cartoon picture of HIV Test (Negative) - Depicted is a negative HIV test. The test result shows one line.,HIV-Test (negativ),Abgebildet ist ein negativer HIV-Test. Das Testergebnis zeigt einen Strich. 
Erkrankung/Krankheitsbild,Binge Eating,"A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_esssucht-rgb.jpg,"Cartoon picture of Binge Eating - A man sits at the table at three o'clock in the morning and eats. On the table are a grilled chicken, sweets, eggs, burgers, cheese, avocado, and much more.",Esssucht,"Ein Mann sitzt am Tisch um drei Uhr nachts und isst. Auf dem Tisch sind ein Grillhaehnchen, Suessigkeiten, Eier, Burger, Kaese, Avocado und vieles mehr. "
Erkrankung/Krankheitsbild,Endometriosis,"This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a2-endometriose-cmyk.jpg,"Cartoon picture of Endometriosis - This is a chronic condition in women where the uterine lining grows outside the uterine cavity and inflammation occurs. In the picture: A woman is depicted naked. Her ovaries, uterus, and lungs are marked. The organs show signs of inflammation.",Endometriose,"Das ist eine chronische Erkrankung bei Frauen, bei der Gebärmutterschleimhaut außerhalb der Gebärmutterhöle wächst und Entzündungen auftreten. Zum Bild: Eine Frau ist nackt abgebildet. Ihre Eierstöcke, ihre Gebärmutter und ihre Lunge sind eingezeichnet. Die Organe weisen Entzündungen auf."
Erkrankung/Krankheitsbild,MS Episode,The upper body of a woman is depicted. Her spine is drawn. The lumbar area is highlighted. The woman touches the spot with one hand.,https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a93-ms-schub-cmyk.jpg,Cartoon picture of MS Episode - The upper body of a woman is depicted. Her spine is drawn. The lumbar area is highlighted. The woman touches the spot with one hand.,MS-Schub,Der Oberkoerper einer Frau ist abgebildet. Ihre Wirbelsaeule ist eingezeichnet. Der Bereich der Lenden ist hervorgehoben. Die Frau fasst sich mit einer Hand an die Stelle.
Erkrankung/Krankheitsbild,Manic Phase (Bipolar Disorder),"A person raises their arms in the air. They appear excited. In their thought bubble, you can see the symbols heart, lightning, euro sign, and clock.",https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a6-manische-phase-cmyk.jpg,"Cartoon picture of Manic Phase (Bipolar Disorder) - A person is split down the middle from top to bottom. On the right, they are wearing an orange T-shirt, raising their arm excitedly, and appear enthusiastic. In their thought bubble are symbols of a heart, a lightning bolt, a euro sign, and a clock. On the left, the person is wearing a gray T-shirt, slumping their shoulder and head, and appears sad. In the thought bubble, there is a cemetery in rainy weather. Below the person, a red curve is drawn. Smiling emojis are drawn at the peaks, and sad emojis are drawn at the troughs.",Manische Phase (bipolare Stoerung),"Eine Person reisst die Arme in die Luft. Sie wirkt begeistert. In ihrer Gedankenblase sieht man die Symbole Herz, Blitz, Euro-Zeichen und Uhr."
